Donor	Tissue	Sample_list
L3	Lung	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L3_Lung.txt
L3	MammaryGland	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L3_MammaryGland.txt
L3	Spleen	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L3_Spleen.txt
L3	Trachea	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L3_Trachea.txt
L3	Uterus	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L3_Uterus.txt
L4	Bladder	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Bladder.txt
L4	Blood	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Blood.txt
L4	Bone	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Bone.txt
L4	BrainCortex	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_BrainCortex.txt
L4	BoneMarrow	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_BoneMarrow.txt
L4	BrainStem	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_BrainStem.txt
L4	Colon	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Colon.txt
L4	Eye	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Eye.txt
L4	Fat	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Fat.txt
L4	Heart	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Heart.txt
L4	Hypothalamus	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Hypothalamus.txt
L4	Kidney	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Kidney.txt
L4	Liver	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Liver.txt
L4	Lung	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Lung.txt
L4	Pancreas	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Pancreas.txt
L4	Skin	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Skin.txt
L4	SmallIntestine	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_SmallIntestine.txt
L4	Spleen	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Spleen.txt
L4	Testes	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Testes.txt
L4	Tongue	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Tongue.txt
L4	Trachea	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L4_Trachea.txt
